139410	‡6.15.21	
139415	‡6.15.22	
139421	‡6.15.23	
139425	‡6.15.24	
139429	‡6.15.25	
139434	‡6.15.26	
139439	‡6.15.27	
139443	‡6.15.28	
139455	‡6.15.29	
139460	‡6.15.30	
139466	‡6.15.31	
139472	‡6.15.32	
139486	‡6.15.33	
139494	‡6.15.34	
139502	‡6.15.35	
139512	‡6.15.36	
139527	‡6.15.37	
139532	‡6.15.38	
139538	‡6.15.39	
139544	‡6.15.40	
139550	‡6.15.41	
139564	‡6.15.42	
139567	‡6.15.43	
139573	‡6.15.44	
139587	‡6.15.45	
139596	‡6.15.46	
139609	‡6.15.47	
139633	‡6.15.48	
139642	‡6.15.49	
139649	‡6.15.50	
139655	‡6.15.51	
139667	‡6.15.52	
139672	‡6.15.53	
139678	‡6.15.54	
139694	‡6.15.55	
139701	‡6.15.56	
139707	‡6.15.57	
139717	‡6.15.58	
139722	‡6.15.59	
139734	‡6.15.59a	
139764	‡6.15.60	
139780	‡6.15.61	
139787	‡6.15.62	
139801	‡6.18.21	
139804	‡6.18.22	
139810	‡6.18.23	
139816	‡6.18.24	
139828	‡6.18.25	
139833	‡6.18.26	
139839	‡6.18.27	
139845	‡6.18.28	
139872	‡6.19.1	
139890	‡6.19.2	
139900	‡6.19.3	
139908	‡6.19.4	
139912	‡6.19.5	
139918	‡6.19.6	
139931	‡6.19.7	
139944	‡6.19.8	
139964	‡6.19.9	
139991	‡6.19.10	
140011	‡6.19.11	
140030	‡6.19.12	
140052	‡6.19.13	
140070	‡6.19.14	
140085	‡6.19.15	
140095	‡6.19.16	
140112	‡6.19.17	
140120	‡6.19.18	
140130	‡6.19.19	
140138	‡6.19.20	
140144	‡6.19.21	
140152	‡6.19.22	
140174	‡6.19.23	
140189	‡6.19.24	
140199	‡6.19.25	
140211	‡6.19.26	
140226	‡6.19.27	
140258	‡6.19.28	
140270	‡6.19.29	
140300	‡6.19.30	
140309	‡6.19.31	
140324	‡6.19.32	
140332	‡6.19.33	
140357	‡6.19.34	
140388	‡6.19.35	
140400	‡6.19.36	
140406	‡6.19.37	
140413	‡6.19.38	
140425	‡6.19.39	
140431	‡6.19.40	
140439	‡6.19.41	
140450	‡6.19.42	
140456	‡6.19.43	
140462	‡6.19.44	
140468	‡6.19.45	
156054	‡7.1.1	
156079	‡7.1.2	
156091	‡7.1.3	
156127	‡7.1.4	
156149	‡7.1.5	
156166	‡7.1.6	
156187	‡7.1.7	
156225	‡7.1.8	
156247	‡7.1.9	
156268	‡7.1.10	
156303	‡7.1.11	
156318	‡7.1.12	
156339	‡7.1.13	
156358	‡7.1.14	
156396	‡7.1.15	
156429	‡7.1.16	
156465	‡7.1.17	
156493	‡7.1.18	
156524	‡7.1.19	
156545	‡7.1.20	
156567	‡7.1.21	
156591	‡7.1.22	
156605	‡7.1.23	
156619	‡7.1.24	
156645	‡7.1.25	
156667	‡7.1.26	
156691	‡7.1.27	
156757	‡7.1.28	
156773	‡7.1.29	
156796	‡7.1.30	
156818	‡7.1.31	
156854	‡7.1.32	
156870	‡7.1.33	
156903	‡7.1.34	
156921	‡7.1.35	
156950	‡7.1.36	
156964	‡7.2.1	
157019	‡7.2.2	
157056	‡7.2.3	
157086	‡7.2.4	
157108	‡7.2.5	
157122	‡7.2.6	
157146	‡7.2.7	
157178	‡7.2.8	
157189	‡7.2.9	
157207	‡7.2.10	
157235	‡7.2.11	
157248	‡7.2.12	
157282	‡7.2.13	
157293	‡7.2.14	
157326	‡7.2.15	
157348	‡7.2.16	
157361	‡7.2.17	
157398	‡7.2.18	
