1	†10.1.1	
11	†10.1.2	
30	†10.1.3	
39	†10.1.4	
60	†10.1.5	
80	†10.1.6	
101	†10.1.7	
129	†10.1.8	
150	†10.1.9	
187	†10.1.10	
207	†10.1.11	
242	†10.1.12	
277	†10.1.13	
285	†10.1.14	
324	†10.1.15	
341	†10.1.16	
370	†10.1.17	
385	†10.1.18	
409	†10.1.19	
417	†10.1.20	
441	†10.1.21	
473	†10.1.22	
496	†10.1.23	
504	†10.1.24	
527	†10.1.25	
557	†10.1.26	
596	†10.1.27	
612	†10.1.28	
656	†10.1.29	
688	†10.1.30	
722	†10.1.31	
742	†10.2.1	
754	†10.2.2	
781	†10.2.3	
806	†10.2.4	
825	†10.2.5	
857	†10.2.6	
870	†10.2.7	
895	†10.2.8	
912	†10.2.9	
947	†10.2.10	
960	†10.2.11	
976	†10.2.12	
993	†10.2.13	
1007	†10.2.14	
1025	†10.2.15	
1044	†10.2.16	
1061	†10.2.17	
1083	†10.2.18	
1099	†10.2.19	
1140	†10.2.20	
1167	†10.2.21	
1188	†10.2.22	
1208	†10.2.23	
1234	†10.2.24	
1258	†10.2.25	
1273	†10.3.1	
1311	†10.3.2	
1323	†10.3.3	
1348	†10.3.4	
1357	†10.3.5	
1381	†10.3.6	
1418	†10.3.7	
1437	†10.3.8	
1470	†10.3.9	
1483	†10.3.10	
1501	†10.3.11	
1524	†10.3.12	
1542	†10.3.13	
1562	†10.3.14	
1602	†10.3.15	
1634	†10.3.16	
1663	†10.3.17	
1705	†10.3.18	
1716	†10.3.19	
1742	†10.3.20	
1757	†10.3.21	
1773	†10.3.22	
1808	†10.3.23	
1825	†10.3.24	
1854	†10.4.1	
1873	†10.4.2	
1892	†10.4.3	
1906	†10.4.4	
1933	†10.4.5	
1952	†10.4.6	
1970	†10.4.7	
1989	†10.4.8	
2021	†10.4.9	
2045	†10.4.10	
2062	†10.4.11	
2084	†10.4.12	
2103	†10.4.13	
2116	†10.4.14	
2146	†10.4.15	
2177	†10.4.16	
2191	†10.4.17	
2217	†10.4.18	
2237	†10.4.19	
2252	†10.4.20	
2265	†10.4.21	
2278	†10.4.22	
2296	†10.4.23	
2326	†10.4.24	
2336	†10.4.25	
2366	†10.4.26	
2385	†10.5.1	
2402	†10.5.2	
2420	†10.5.3	
2444	†10.5.4	
2462	†10.5.5	
2476	†10.5.6	
2487	†10.5.7	
2505	†10.5.8	
2517	†10.5.9	
2527	†10.5.10	
2546	†10.5.11	
2558	†10.5.12	
2568	†10.5.13	
2586	†10.5.14	
2598	†10.5.15	
2610	†10.5.16	
2628	†10.5.17	
2641	†10.5.18	
2653	†10.5.19	
2669	†10.5.20	
2682	†10.5.21	
2694	†10.5.22	
2712	†10.5.23	
2722	†10.5.24	
2735	†10.5.25	
2747	†10.5.26	
2764	†10.5.27	
2779	†10.5.28	
2789	†10.5.29	
2819	†10.5.30	
2838	†10.5.31	
2851	†10.5.32	
2867	†10.6.1	
2882	†10.6.2	
2902	†10.6.3	
2933	†10.6.4	
2973	†10.6.5	
3002	†10.6.6	
3015	†10.6.7	
3045	†10.6.8	
3053	†10.6.9	
3071	†10.6.10	
3082	†10.6.11	
3094	†10.6.12	
3114	†10.6.13	
3141	†10.6.14	
3160	†10.6.15	
3182	†10.6.16	
3206	†10.6.17	
3235	†10.6.18	
3264	†10.6.19	
3299	†10.6.20	
3340	†10.6.21	
3360	†10.6.22	
3372	†10.7.1	
3399	†10.7.2	
3425	†10.7.3	
3456	†10.7.4	
3482	†10.7.5	
3492	†10.7.6	
3505	†10.7.7	
3532	†10.7.8	
3558	†10.7.9	
3574	†10.7.10	
3589	†10.7.11	
3621	†10.7.12	
3633	†10.7.13	
3660	†10.7.14	
3686	†10.7.15	
3702	†10.7.16	
3727	†10.7.17	
3752	†10.7.18	
3769	†10.7.19	
3790	†10.7.20	
3804	†10.7.21	
3830	†10.7.22	
3844	†10.7.23	
3883	†10.7.24	
3893	†10.8.1	
3934	†10.8.2	
3952	†10.8.3	
3970	†10.8.4	
3988	†10.8.5	
4011	†10.8.6	
4024	†10.8.7	
4046	†10.8.8	
4061	†10.8.9	
4100	†10.8.10	
4113	†10.8.11	
