A	adjective
RA+A	pronoun, article + adjective
RA+A.ASN	pronoun, article + adjective, Acc Sing Neut
RD.APF	pronoun, demonstrative, Acc Plur Fem
RD.APM	pronoun, demonstrative, Acc Plur Masc
RD.APN	pronoun, demonstrative, Acc Plur Neut
RD.ASF	pronoun, demonstrative, Acc Sing Fem
RD.ASM	pronoun, demonstrative, Acc Sing Masc
RD.ASN	pronoun, demonstrative, Acc Sing Neut
RD.DPF	pronoun, demonstrative, Dat Plur Fem
RD.DPM	pronoun, demonstrative, Dat Plur Masc
RD.DPN	pronoun, demonstrative, Dat Plur Neut
RD.DSF	pronoun, demonstrative, Dat Sing Fem
RD.DSM	pronoun, demonstrative, Dat Sing Masc
RD.DSN	pronoun, demonstrative, Dat Sing Neut
RD.GPF	pronoun, demonstrative, Gen Plur Fem
RD.GPM	pronoun, demonstrative, Gen Plur Masc
RD.GPN	pronoun, demonstrative, Gen Plur Neut
RD.GS	pronoun, demonstrative, Gen Sing
RD.GSF	pronoun, demonstrative, Gen Sing Fem
RD.GSM	pronoun, demonstrative, Gen Sing Masc
RD.GSN	pronoun, demonstrative, Gen Sing Neut
RD.NPF	pronoun, demonstrative, Nom Plur Fem
RD.NPM	pronoun, demonstrative, Nom Plur Masc
RD.NPN	pronoun, demonstrative, Nom Plur Neut
RD.NSF	pronoun, demonstrative, Nom Sing Fem
RD.NSM	pronoun, demonstrative, Nom Sing Masc
RD.NSN	pronoun, demonstrative, Nom Sing Neut
RD+N.GSM	pronoun, demonstrative + noun, Gen Sing Masc
RI	pronoun, interrogative/indefinite
RI.APF	pronoun, interrogative/indefinite, Acc Plur Fem
RI.APM	pronoun, interrogative/indefinite, Acc Plur Masc
RI.APN	pronoun, interrogative/indefinite, Acc Plur Neut
RI.AS	pronoun, interrogative/indefinite, Acc Sing
RI.ASF	pronoun, interrogative/indefinite, Acc Sing Fem
RI.ASM	pronoun, interrogative/indefinite, Acc Sing Masc
RI.ASN	pronoun, interrogative/indefinite, Acc Sing Neut
RI.D	pronoun, interrogative/indefinite, Dat
RI.DPN	pronoun, interrogative/indefinite, Dat Plur Neut
RI.DSF	pronoun, interrogative/indefinite, Dat Sing Fem
RI.DSM	pronoun, interrogative/indefinite, Dat Sing Masc
RI.DSN	pronoun, interrogative/indefinite, Dat Sing Neut
RI.GPM	pronoun, interrogative/indefinite, Gen Plur Masc
RI.GPN	pronoun, interrogative/indefinite, Gen Plur Neut
RI.GS	pronoun, interrogative/indefinite, Gen Sing
RI.GSF	pronoun, interrogative/indefinite, Gen Sing Fem
RI.GSM	pronoun, interrogative/indefinite, Gen Sing Masc
RI.GSN	pronoun, interrogative/indefinite, Gen Sing Neut
RI.NPF	pronoun, interrogative/indefinite, Nom Plur Fem
RI.NPM	pronoun, interrogative/indefinite, Nom Plur Masc
RI.NPN	pronoun, interrogative/indefinite, Nom Plur Neut
RI.NS	pronoun, interrogative/indefinite, Nom Sing
RI.NSF	pronoun, interrogative/indefinite, Nom Sing Fem
RI.NSM	pronoun, interrogative/indefinite, Nom Sing Masc
RI.NSN	pronoun, interrogative/indefinite, Nom Sing Neut
RP.AP	pronoun, personal/possessive, Acc Plur
RP.APF	pronoun, personal/possessive, Acc Plur Fem
RP.APM	pronoun, personal/possessive, Acc Plur Masc
RP.APN	pronoun, personal/possessive, Acc Plur Neut
RP.AS	pronoun, personal/possessive, Acc Sing
RP.ASF	pronoun, personal/possessive, Acc Sing Fem
RP.ASM	pronoun, personal/possessive, Acc Sing Masc
RP.ASN	pronoun, personal/possessive, Acc Sing Neut
RP.DP	pronoun, personal/possessive, Dat Plur
RP.DPF	pronoun, personal/possessive, Dat Plur Fem
RP.DPM	pronoun, personal/possessive, Dat Plur Masc
RP.DS	pronoun, personal/possessive, Dat Sing
RP.DSF	pronoun, personal/possessive, Dat Sing Fem
RP.DSM	pronoun, personal/possessive, Dat Sing Masc
RP.GP	pronoun, personal/possessive, Gen Plur
RP.GPF	pronoun, personal/possessive, Gen Plur Fem
RP.GPM	pronoun, personal/possessive, Gen Plur Masc
RP.GS	pronoun, personal/possessive, Gen Sing
RP.GSF	pronoun, personal/possessive, Gen Sing Fem
RP.GSM	pronoun, personal/possessive, Gen Sing Masc
RP.NP	pronoun, personal/possessive, Nom Plur
RP.NPM	pronoun, personal/possessive, Nom Plur Masc
RP.NPN	pronoun, personal/possessive, Nom Plur Neut
RP.NS	pronoun, personal/possessive, Nom Sing
RP.NSF	pronoun, personal/possessive, Nom Sing Fem
RP.NSM	pronoun, personal/possessive, Nom Sing Masc
RP.VS	pronoun, personal/possessive, Voc Sing
RP+X.NS	pronoun, personal/possessive + particle, Nom Sing
RR.APF	pronoun, relative, Acc Plur Fem
RR.APM	pronoun, relative, Acc Plur Masc
RR.APN	pronoun, relative, Acc Plur Neut
RR.ASF	pronoun, relative, Acc Sing Fem
RR.ASM	pronoun, relative, Acc Sing Masc
RR.ASN	pronoun, relative, Acc Sing Neut
RR.DPF	pronoun, relative, Dat Plur Fem
RR.DPM	pronoun, relative, Dat Plur Masc
RR.DPN	pronoun, relative, Dat Plur Neut
RR.DSF	pronoun, relative, Dat Sing Fem
RR.DSM	pronoun, relative, Dat Sing Masc
RR.DSN	pronoun, relative, Dat Sing Neut
RR.GPF	pronoun, relative, Gen Plur Fem
RR.GPM	pronoun, relative, Gen Plur Masc
RR.GPN	pronoun, relative, Gen Plur Neut
RR.GSF	pronoun, relative, Gen Sing Fem
RR.GSM	pronoun, relative, Gen Sing Masc
RR.GSN	pronoun, relative, Gen Sing Neut
RR.NPF	pronoun, relative, Nom Plur Fem
RR.NPM	pronoun, relative, Nom Plur Masc
RR.NPN	pronoun, relative, Nom Plur Neut
RR.NSF	pronoun, relative, Nom Sing Fem
RR.NSM	pronoun, relative, Nom Sing Masc
RR.NSN	pronoun, relative, Nom Sing Neut
RX.GSM	pronoun, relative, ὅστις, Gen Sing Masc
RX.GSN	pronoun, relative, ὅστις, Gen Sing Neut
RX.NPF	pronoun, relative, ὅστις, Nom Plur Fem
RX.NPM	pronoun, relative, ὅστις, Nom Plur Masc
RX.NSF	pronoun, relative, ὅστις, Nom Sing Fem
RX.NSM	pronoun, relative, ὅστις, Nom Sing Masc
RX.NSN	pronoun, relative, ὅστις, Nom Sing Neut
V.AAD1S	verb, Aor Act Imperative 1st Sing
V.AAD2P	verb, Aor Act Imperative 2nd Plur
V.AAD2S	verb, Aor Act Imperative 2nd Sing
V.AAD3P	verb, Aor Act Imperative 3rd Plur
V.AAD3S	verb, Aor Act Imperative 3rd Sing
V.AAI1P	verb, Aor Act Ind 1st Plur
V.AAI1S	verb, Aor Act Ind 1st Sing
